"id","name","host_id","host_identity_verified","host_name","neighbourhood_group","neighbourhood","latitude","longitude","instant_bookable","cancellation_policy","room_type","construction_year","price","service_fee","minimum_nights","num_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","available_days","house_rules","license"
"1828681","A LITTLE PARADISE NEXT TO SUBWAY!","94643866836","verified","Francesca","Queens","Ridgewood","40.70719","-73.89632",False,"flexible","Private room",2006,"303","61",14,11,"2018-08-31","0.15",5,1,158,"No Pets allowed.   No smoking.",NULL
"1822054","Light & airy Chelsea NY 1bdrm apt","17328806401","unverified","Nic","Manhattan","Chelsea","40.74272","-74.00309",True,"moderate","Entire home/apt",2022,"554","111",3,17,"2018-06-24","0.21",2,1,407,NULL,NULL
"1868447","Room Available-Close to Manhattan-B","39809450034","verified","Marianne","Staten Island","Concord","40.60213","-74.0893",False,"strict","Private room",2010,"827","165",30,36,"2017-08-29","0.44",2,2,293,NULL,NULL
"1886673","Garden Pl Historical Artist studio","20980477325","verified","Tari","Brooklyn","Brooklyn Heights","40.69127","-73.99552",False,"flexible","Entire home/apt",2011,"526","105",1,17,"2016-03-15","0.21",1,1,274,"No smoking please!",NULL
"1921468","Location Moreno","17510039202","verified","Petya","Queens","Long Island City","40.75754","-73.93004",False,"flexible","Private room",2005,"948","190",30,13,"2015-12-13","0.16",3,18,416,"Guests are responsible to clean up after themselves in common areas including dishes (dishwasher), and countertops. No candles or open flames in the condominium.",NULL
"1943008","TIMES SQ/THEATRE DIST STUDIO","80222815863","verified","Frank","Manhattan","Hell's Kitchen","40.76078","-73.99076",True,"moderate","Entire home/apt",2009,"608","122",3,276,"2019-07-06","3.44",5,1,304,NULL,NULL
"3047055",NULL,"82851755261","verified","Anna","Manhattan","East Village","40.73215","-73.98821",False,"strict","Entire home/apt",2004,"552","110",1,28,"2015-06-08","0.45",2,1,47,NULL,NULL
"1977802","Monthly discount - 2 bedroom  - upper east side","35375721998","verified","D","Manhattan","Upper East Side","40.77043","-73.9515",True,"moderate","Entire home/apt",2014,"686","137",25,1,"2017-09-30","0.05",3,2,62,"#NAME?",NULL
"2069484","Spacious garden appartment brooklyn","39535420131","verified","Bernard","Brooklyn","Prospect Heights","40.68099","-73.97446",False,"flexible","Entire home/apt",2011,"907","181",5,145,"2019-07-01","1.82",4,1,32,NULL,NULL
"2192095","West Village Gem - Amazing Location","20038559018","verified","Ricky","Manhattan","West Village","40.73464","-74.00225",False,"flexible","Entire home/apt",2017,"874","175",3,28,"2019-07-03","1.52",2,1,172,NULL,NULL
"2145702","Bright Doorman One Bedroom on Upper East Side","66348849823","verified","Meg","Manhattan","Upper East Side","40.77543","-73.95499",True,"strict","Entire home/apt",2014,"373","75",3,20,"2019-06-10","0.26",3,1,255,"No smoking No pets",NULL
"2350053","Cozy 2 BR apartment in Queens","67818985774","verified","Verena","Queens","Richmond Hill","40.69414","-73.82538",False,"flexible","Entire home/apt",2022,"163","33",30,33,"2017-12-08","0.46",4,3,79,NULL,NULL
"19433244","Central Harlem, New York City","22050437933","verified","Lamar","Manhattan","Harlem","40.81857","-73.9402",True,"strict","Entire home/apt",2022,"773","155",2,18,"2019-06-01","1.45",5,1,0,NULL,NULL
"2452228","Sunny Brooklyn Artists' Enclave! *huge room!*","98378712387","verified","Tyler","Brooklyn","Bedford-Stuyvesant","40.68732","-73.93004",True,"moderate","Private room",2006,"52","10",7,2,"2019-06-21","1",4,1,262,NULL,NULL
"2493651","A beautiful, and quiet place to stay in NYC!!!","34225918657","verified","Marjorie","Queens","Bellerose","40.73193","-73.74481",False,"flexible","Shared room",2012,"609","122",2,0,NULL,NULL,5,1,197,"Shoes must be removed after entering the house. The cats are strictly indoor. No smoking",NULL
"2504144","Charming Prime Williamsburg 2 bedroom Entire home","1856220982","verified","Kristen & Corey","Brooklyn","Williamsburg","40.71915","-73.94061",True,"strict","Entire home/apt",2018,"988","198",2,80,"2017-07-19","1.28",5,1,199,"#NAME?",NULL
"2525684","Gorgeous apartment by Grand Central","89633395101","verified","Tilia","Manhattan","Murray Hill","40.74776","-73.97335",True,"flexible","Entire home/apt",2014,"96","19",4,7,"2015-09-04","0.1",2,1,-9,"We don't allow smoking, drug use, excessive parties, or loud music out of respect for our neighbors.  Please treat our home like your own! ",NULL
"2546671","nice room in bedstuy L","84122277827","verified","Randy","Brooklyn","Bedford-Stuyvesant","40.6839","-73.95042",False,"flexible","Private room",2005,"931","186",1,126,"2019-06-19","1.77",5,15,369,NULL,NULL
"2557717","Entire Floor of Brooklyn Brownstone","91789128139","verified","Julie","Brooklyn","Bushwick","40.68585","-73.90686",False,"strict","Private room",2017,"411","82",2,12,"2018-07-01","0.24",4,1,103,NULL,NULL
"2560479","1-bedroom APT SoHo / NoLITa","39395926856","verified","Stephan","Manhattan","NoHo","40.72545","-73.99492",False,"flexible","Entire home/apt",2019,"96","19",7,2,"2015-12-23","0.04",5,1,424,"The Golden Rule",NULL
"2578153",NULL,"80972338384","verified","Peter","Manhattan","Battery Park City","40.71239","-74.0162",True,"moderate","Entire home/apt",2016,"198","40",1000,0,NULL,NULL,3,1,88,NULL,NULL
"2582571","Enormous Chrysler-View Bedroom/Bath","61721932048","verified","Dn","Manhattan","Midtown","40.7513","-73.97239",True,"strict","Private room",2005,"646","129",3,1,"2015-09-30","0.02",1,2,42,NULL,NULL
"2626203","The Top-Notch Top-Floor","20939120847","verified","Stephen","Brooklyn","Greenpoint","40.7337","-73.95427",False,"moderate","Private room",2004,"149","30",1,0,NULL,NULL,1,1,137,NULL,NULL
"2760412","nice furnished room ground floor","97868529298","verified","Nes","Brooklyn","Williamsburg","40.71863","-73.94575",True,"strict","Private room",2006,"554","111",3,30,"2018-11-07","0.6",2,1,51,"My unit is one of 3 in the building.  My place is penthouse level so please just be considerate of my neighbors downstairs.",NULL
"2763173","Beautiful and spacious  bedroom in Williamsburg","23032989570","verified","Nicholas","Brooklyn","Williamsburg","40.71351","-73.94316",True,"flexible","Private room",2018,"1161","232",6,1,"2017-08-26","0.04",3,2,175,NULL,NULL
"3012260","Herkimer House","86725904480","verified","Anthony","Brooklyn","Bedford-Stuyvesant","40.67892","-73.95156",False,"moderate","Entire home/apt",2005,"613","123",2,94,"2019-06-23","2.55",1,1,198,"No smoking.",NULL
"2824478","Adorable Apt on Prospect Park!","31834060343","verified","Isabel","Brooklyn","Windsor Terrace","40.65899","-73.97771",False,"strict","Entire home/apt",2017,"401","80",15,0,NULL,NULL,5,1,419,NULL,NULL
"2859826","Cozy Private room in Brooklyn","90207873306","verified","Kenny And Christine","Brooklyn","Bushwick","40.69641","-73.90994",True,"moderate","Private room",2016,"617","123",1,13,"2018-12-01","0.49",1,2,224,NULL,NULL
"2862035","Beautiful Furnished 1 Bedroom apt; Wash Hts","9871996941","verified","Todd","Manhattan","Inwood","40.86317","-73.92873",True,"strict","Entire home/apt",2014,"63","13",1,78,"2019-06-21","1.81",5,1,309,NULL,NULL
"2862587","2 BR apt in East Village w private patio","61916576719","verified","Michael","Manhattan","East Village","40.73003","-73.98576",True,"strict","Entire home/apt",2003,"608","122",2,17,"2019-01-02","0.55",5,2,16,NULL,NULL
"2881918","Clean, spacious entire 1br in NYC!","35389686979","verified","Andrey","Manhattan","Midtown","40.76326","-73.98165",True,"flexible","Entire home/apt",2007,"242","48",5,37,"2019-06-09","0.55",5,2,314,NULL,NULL
"2901248","Large 1 bedroom apartment (shared)","30697049406","verified","Lexy","Bronx","Bronxdale","40.85667","-73.86543",False,"strict","Entire home/apt",2006,"808","162",1,1,"2014-08-19","0.02",3,1,256,NULL,NULL
"3098971","Large Rooms with Bar and PullOut Prime Greenpoint","27374661897","verified","Peter","Brooklyn","Greenpoint","40.73052","-73.95568",False,"strict","Private room",2009,"174","35",4,106,"2019-06-03","2.82",4,1,162,"No parties no loud music any issues please call",NULL
"2913951","Sunny & Bright Bohemian 2BR XL Loft","22824404508","verified","Vida","Brooklyn","Greenpoint","40.72532","-73.93992",False,"moderate","Entire home/apt",2005,"202","40",30,8,"2018-07-17","0.14",5,52,176,NULL,NULL
"2934386","Staying in Greenpoint/Williamsburg!","5341465143","verified","Angelina","Brooklyn","Greenpoint","40.73408","-73.95601",False,"moderate","Private room",2011,"614","123",3,19,"2018-01-23","0.32",3,4,29,NULL,NULL
"2953164","Fabulous City View Studio Loft","49062707835","verified","Vida","Brooklyn","Greenpoint","40.72546","-73.94136",True,"strict","Entire home/apt",2016,"1199","240",30,4,"2018-01-05","0.06",1,52,119,"This is a non-smoking unit.",NULL
"2974704","Downtown, close to every subway!","45269242585","verified","Chris","Manhattan","Battery Park City","40.71","-74.0154",True,"strict","Private room",2008,"706","141",3,1,"2017-05-25","0.04",2,1,11,NULL,NULL
"2976361","Super Bowl, 2 bdrm, UWS apartment ","40284199662","verified","Julie","Manhattan","Upper West Side","40.79478","-73.97474",True,"moderate","Entire home/apt",2008,"888","178",1,0,NULL,NULL,5,1,356,NULL,NULL
"2978570","Casa de La Musica","52711171616","verified","Yoruba","Brooklyn","Bushwick","40.68342","-73.91017",True,"moderate","Entire home/apt",2020,"142","28",7,0,NULL,NULL,3,1,-5,"1. No damage to the house or furniture 2. No Smoking, No Pets, No Drugs 3. No more sleepover people then you booked 4. Keep quiet after 11:00 PM 5. Be respectful to neighbors 6. Keep the kitchen clean after used 7. Keep the bathroom clean after used 8. Check-in: 3PM, Check-out: 11:00AM",NULL
"3103942","cozy upper east side 1 br abode","11529035989","verified","Mary","Manhattan","Upper East Side","40.78103","-73.95069",True,"flexible","Entire home/apt",2006,"244","49",2,14,"2019-06-01","0.33",2,1,180,"Please treat my home with the love and care you would give your own.",NULL
"3169114","Modern Duplex Studio Factory Loft","5640471490","unverified","Vida","Brooklyn","Greenpoint","40.72669","-73.9419",True,"strict","Entire home/apt",2003,"513","103",30,9,"2019-04-30","0.16",5,52,136,NULL,NULL
"3182369","Gorgeous Private 1BR. 10m to MHTN.","92574737852","verified","Ido","Queens","Astoria","40.75705","-73.91771",False,"strict","Entire home/apt",2016,"303","61",14,0,NULL,NULL,5,1,325,"No smoking of any kind allowed in house or on property at any time.  Quiet and respectful of our neighbors.",NULL
"3182921","Upper East Side Large 2 Bedroom","78812065073","verified","Daniel","Manhattan","Upper East Side","40.78474","-73.94974",True,"strict","Entire home/apt",2007,"900","180",1,0,NULL,NULL,3,1,392,"Dear Guest, Thank you for appreciating that I live in a building with other people. Please always lock all doors (especially the front one) when coming and going.",NULL
"3067490","Spacious Duplex Apt in Brooklyn","87865361860","verified","Danni","Brooklyn","Bedford-Stuyvesant","40.68835","-73.95568",True,"flexible","Private room",2007,"967","193",3,10,"2018-01-08","0.16",2,1,402,"There is no smoking in or immediately around the building. The building's quiet hours begin at 9pm. After this time it's very important that you not play music loudly, have noisy guests over, etc.",NULL
"3110570","Entire Park Slope Brownstone","8570193247","verified","Alexandra","Brooklyn","Park Slope","40.67262","-73.97351",True,"flexible","Entire home/apt",2012,"1187","237",10,8,"2018-08-11","0.12",2,1,160,NULL,NULL
"3166352","Newly renovated 1BD on UWS","30811496166","verified","Amber","Manhattan","Upper West Side","40.7809","-73.98215",True,"moderate","Entire home/apt",2003,"1092","218",5,0,NULL,NULL,2,1,217,NULL,NULL
"3197281","Private Room: The cheapest deal!!","77940711558","verified","Siddharth","Queens","Ozone Park","40.67948","-73.85335",True,"flexible","Private room",2019,"878","176",7,0,NULL,NULL,4,1,362,NULL,NULL
"3236494","Apartment 6","42491080480","verified","Craig","Manhattan","Harlem","40.8029","-73.95694",True,"flexible","Private room",2010,"146","29",3,298,"2019-06-27","4.67",3,1,163,NULL,NULL
"3261348","Large Sunny Apt, Great Location!","18316407542","verified","Conall","Brooklyn","Prospect Heights","40.67318","-73.96738",True,"flexible","Entire home/apt",2018,"789","158",5,10,"2016-10-13","0.16",4,1,9,"Treat our apartment as if it were your own =). 1. No pets please.  2. Smoking outside or on the deck only.  3. Please treat the common amenities with respect.  4. We expect you to clean up after yourself.",NULL
"3462937","Great apt in awesome area","57017437550","verified","Brian","Manhattan","Upper West Side","40.78576","-73.97594",False,"flexible","Entire home/apt",2021,"322","64",3,92,"2019-05-06","1.53",2,1,47,"No smoking except smoke deck.",NULL
"3461280","Awesome 2 bedroom~murray hill~deal","92196729674","unverified","Mike","Manhattan","Murray Hill","40.74462","-73.97488",False,"strict","Entire home/apt",2008,"367","73",30,6,"2017-06-30","0.11",1,52,2,NULL,NULL
"3296143","Large Clean Room Midtown East NYC","46910916779","verified","Juan","Manhattan","Midtown","40.75413","-73.96792",True,"moderate","Private room",2014,"464","93",2,198,"2019-06-09","3.1",5,1,75,NULL,NULL
"3491104","Spacious room in flushing ny ❤️","74277952064","verified","Mack","Queens","Flushing","40.76428","-73.83225",False,"moderate","Private room",2017,"1075","215",3,35,"2016-12-31","0.61",1,1,212,NULL,NULL
"3332042","Sunny Room in the Heart of it All!","90416942990","verified","Lisa","Brooklyn","Williamsburg","40.71614","-73.96134",True,"flexible","Private room",2006,"275","55",2,349,"2019-06-17","5.54",2,1,143,"Please no dirty dishes behind. Thank you",NULL
"3334804","Large Loft in Brooklyn  w/ Deck","64570273952","verified","Max","Brooklyn","Clinton Hill","40.68998","-73.96072",False,"moderate","Entire home/apt",2003,"945","189",10,8,"2019-01-03","0.13",2,1,173,"Smoking is allowed on the patio only. No pets unless discussed with owners Be mindful of the neighbors, this is a residential area.",NULL
"3335908","It's very warm and friendly.","37594920924","verified","Ada Azra","Bronx","Fordham","40.86705","-73.88545",False,"moderate","Shared room",2014,"820","164",7,10,"2018-10-13","0.16",1,1,231,NULL,NULL
"3351925","Lovely Private Bedroom in 2BR Apt","43869838892","verified","Emily","Queens","Woodside","40.74235","-73.90375",False,"moderate","Private room",2010,"263","53",1,1,"2015-09-05","0.02",3,1,115,"Residential building so no loud gatherings  No noise after 11  Basically treat it like its your place  No cleaning fee charged so please leave kitchen like you found it",NULL
"3504360","Bright Quiet 1BD in the Heart of BK","51179079307","unverified","Sara","Brooklyn","Boerum Hill","40.68474","-73.97959",True,"flexible","Entire home/apt",2010,"279","56",3,55,"2019-06-17","0.94",4,1,25,NULL,NULL
"3512644","Bright Studio in New WB Building","605352863","verified","Masha","Brooklyn","Williamsburg","40.71808","-73.95511",True,"strict","Entire home/apt",2022,"339","68",1,12,"2016-08-28","0.33",3,1,65,NULL,NULL
"3513196","Charming XL 1br in Astoria","21636999086","verified","David","Queens","Astoria","40.77221","-73.92493",True,"moderate","Entire home/apt",2013,"477","95",5,22,"2018-05-17","0.37",2,1,259,"Please take off your shoes when walking around in the apartment, especially in Winter.",NULL
"3442502","Hudson Heights Art Deco","18504418350","verified","Alison","Manhattan","Washington Heights","40.85719","-73.93573",False,"strict","Private room",2006,"93","19",2,34,"2018-08-07","0.56",5,1,148,"No smoking. No pets No visitors Cleaning of rooms & toilets will be down by guest after use and at check out.  A surcharge of $50 will be imposed if guests smoke within the property.  Sanitary pads are not allowed in the WC.   Kitchen utensils are to be washed after use always.  If you lose the keys $20 surcharge will be imposed for replacement. Turn off all lights and electronics  in your room if not in use or not home.",NULL
"3444159","Studio in Center of Chelsea","3348409602","verified","Selma","Manhattan","Chelsea","40.74227","-73.99362",True,"flexible","Entire home/apt",2005,"1195","239",1,6,"2014-08-25","0.1",2,1,112,NULL,NULL
"3445264","Giant 3 story family house,  15 min to Manhattan","26528337124","verified","Amir","Brooklyn","Prospect Heights","40.67553","-73.96376",True,"moderate","Entire home/apt",2014,"1197","239",3,11,"2019-04-28","0.19",5,1,409,NULL,NULL
"3467908","Explore NYC - 1 Stop to Manhattan!","5262982874","verified","Kara Ayn","Queens","Long Island City","40.74902","-73.94066",True,"strict","Private room",2010,"133","27",3,145,"2019-06-23","2.33",3,1,307,"#NAME?",NULL
"3475088","Sunny clean studio in heart of LES","78890512101","verified","Lisa","Manhattan","Lower East Side","40.71987","-73.98641",True,"strict","Entire home/apt",2010,"210","42",1,32,"2018-12-12","0.51",3,1,253,"No smoking within the apartment, though may do so on the back pouch. No pet allowed for other's safety reason. Keys must be left behind at the end of stay to avoid monetary penalty. Clean after self after use of  common areas for others comfort and convenience.",NULL
"3485581","At home in Historic Harlem","13738373251","verified","Sarah","Manhattan","Harlem","40.80399","-73.94665",False,"flexible","Private room",2004,"462","92",250,91,"2018-08-10","1.47",2,1,423,NULL,NULL
"3619790","Good Living in Brooklyn! Double Bed","41619201554","verified","Karen","Brooklyn","Bushwick","40.69893","-73.91549",True,"moderate","Private room",2015,"229","46",2,55,"2019-01-02","1.24",1,1,157,"No Pets. No Smoking.",NULL
"3507121","Cozy Garden View Apartment!  Perfect for Families!","18812687151","verified","Rick","Brooklyn","Bedford-Stuyvesant","40.68208","-73.92994",True,"flexible","Entire home/apt",2016,"274","55",5,60,"2019-03-29","1.3",2,1,143,"This is a residential property and quiet is maintained.   Absolutely zero smoking on or near the property.  Be respectful and kind.",NULL
"3059206","Landmark Brownstone, Crown Heights","12925715425","unverified","Clifton","Brooklyn","Crown Heights","40.67112","-73.94536",False,"strict","Entire home/apt",2011,"181","36",2,281,"2019-06-30","4.29",2,1,61,"- NO parties or events. -NO smoking inside. You are welcome to smoke outside. -We ask guests to maintain a low noise level after 10pm and be respectful of noise levels during the day. You are welcome to have a few friends over for dinner but no loud music. -NOTHING but toilet paper and human waste in the toilet.  -Hair dyeing are not allowed in the apartment as the wood, furniture and bathroom sink can stain very easily. -All overnight guests must be booked through Airbnb.  Enjoy yourself!  Ask us for anything you may need while you're here! We will do our best to help.",NULL
"3528661","Cozy Studio Close to Central Park","73780936972","verified","Gina","Manhattan","Harlem","40.80185","-73.95667",False,"flexible","Entire home/apt",2003,"246","49",2,142,"2019-06-29","2.39",5,2,121,"No pets. No smoking. Please :)",NULL
"3061415","Great UWS Apt./Central Park","19699014495","unverified","Ruben","Manhattan","Upper West Side","40.78531","-73.96988",False,"strict","Entire home/apt",2015,"943","189",1,0,NULL,NULL,5,1,211,"No Smoking No Pets No Parties",NULL
"3590518","Quiet Brooklyn Apartment","68590348614","verified","Danielle","Brooklyn","Greenpoint","40.72096","-73.94424",False,"strict","Entire home/apt",2008,"104","21",7,0,NULL,NULL,2,1,143,"#NAME?",NULL
"3692142","Your own private big Brooklyn apt!","22118575693","verified","Ala","Brooklyn","Bedford-Stuyvesant","40.68422","-73.95666",False,"moderate","Entire home/apt",2009,"824","165",4,142,"2019-05-28","2.34",2,1,67,NULL,NULL
